tier,accountId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,puuid
CHALLENGER,T37BdnQC01yS395mJY9zzzzJEVlmybuDjZtYV-vIC33RLH5Cu4-yTr6QDQ,WBG Easyhoon,911,354,312,False,False,False,Y61EfmJdZWkFcf3JOqvT2iuyvU1rOVcekS-ZUjLpqF3r1QmloySsoTFgmmzQxdzSDaiLTcMF6BfDqw
CHALLENGER,pzR36ZAB1uKlo5T99hIZ1DU50kSItaEBxhrtBhBNNTY2d87mNWTNTpvvwg,Supreme01,931,263,200,False,False,False,CJEHFnsNF3xhggR_3RuERiZCdB9yWzedrpyZqjs_xzDh4zBG27pvgNR1EOE54VJE653AsVgcWPyOfA
CHALLENGER,ibZyIEDq29rZyFY6mCtRraF4cXKUshaTrzBom-73a9j2gA,갈과 배 음료,1020,1411,1343,True,False,False,Y9YMFclvIHuJO0zqbljEMTWjpd9LSotyJKpSMdpPg24VNj0eKyU0mfDjap7YYvnz1V00ls2TFOVcUw
CHALLENGER,SFMX4SNl6uMTtEwb_d4JNgqCaecV6NkKgBfd2AT0Oj0GKfc,젠지 뚱러,1307,704,610,True,False,False,hWUSY25u3xIuEDrXKWMgV6cTpNMbSftSkFfIY9ClkxxaVtxVq-5E0J9Y1Yuv4jmILs4GvDLTzcEY_A
CHALLENGER,D85-RLQCI_FmzocGIWz1et0kjdG6FJyo-vWDWLu8nDGsJ4IUU6j2wN775w,Reve Bonheur Toi,995,396,332,False,False,False,wXYnT7ZUMRdIseEbKEUIbLmCpgiIHFBgpg_EcyjvgYFWqDklyaKGuluem8O5Gtt1ywCopGvQsD7gxg
CHALLENGER,shnpBtCunbpFZPiisJ98cezjPOWVCKfzoGPwBpdrqaO21xs,땅우양1,931,500,433,False,False,False,LjSAdoQ0V14leONWmZ-KBjfCx_Be-GVDcMNVbDDX6P7OKlLWOnZ3XeQllHR9gn5SIfEqX9mBpeOUuA
CHALLENGER,Z4_pu68YjYQS3pP06o9WfqYdbagTCqun6wQxoyxSqGnlRIE,zenbukorosu,967,679,599,False,False,False,rkIiu4adZgg78N8ZfGq06ZT6Rtm3z1Gb5QVZ12rBF-MECDR3N-bEApp3Hn1a1sLaJEw15NtuySerSQ
CHALLENGER,s1Bct95mP9Ud_BWrHrYjCw-8prGIVkDwDlVAPHI_zcpqNqs,그땐 그저 좋았다,935,345,280,False,False,True,P8cPnEyWHus0aPkt9vZ2CZajgNc9dQeqU_awgwfvfbfduuX-PZnqQs95Yf9mpRvwyXdFW_J0MYLOQQ
CHALLENGER,BlwAzs0zqynZFAh9pwHixe0jAY4Kuc61Rky_qW_1YYZvz7k,숟인데요,928,287,231,False,False,False,tO6NYN0xPQR0gsC2ud5W0ywEjf8iIcCD6fofhPtAXTOSyqQXzrGegJ07g1_lQITvO0Nf9EKrtje0Zg
CHALLENGER,HEUzVFD4hRbIL--h0sge6SnrHr-yp-fpGUUmcc8oxTPdtXyT_BCdgXXKZg,연애꽃1,1043,231,171,True,False,False,xtthqgcxBPZaoWMlNup0Bc_cXH_LYQ5y_bFpu_CnaU_F0__H6z20uPpoje4-sv2APnd1I6wiZl-JnA
CHALLENGER,JlKF_MeN-nSaxMXlK8lqG957Ij0QuRkIbYNbFTPPupQt5Vf-1QlKGGv6Gg,qwesadz,945,969,893,False,False,False,X9feUlxSunwIHM8UwN7zCloYoxueFM7qGyeEoz7-LyrC504E5aupNP1QTEBAYOovEluo2RlYEHNcEw
CHALLENGER,-7LGGIJqMJxDSLhhh9ZQzT_IHprPXc9qmWz-LMUa9NDGgJE,DK Loopy,926,988,924,False,False,True,BUgWezWuHwyoZEAuOorPCBVWHJciig-owo6kvKlQ1vJ32GT-W0e0zV32mNayCDVp4qYZbWAJIaM-SQ
CHALLENGER,nT4NHJV7_8RqS96IEi2l9Ii01JlQiGaiX_0H2zaVDtI3AIw,LSB DDahyuk,941,1316,1263,False,False,False,60DTYEXqNPdD0a1Wq9Gw9WojEdc2LqtF-Mq54UoksXH0Dde66VN-dziYTtYnxFZZrKm8sv8ZSPjzVQ
CHALLENGER,eQbSlYB1XaMXBrsTpfZT93SIZZ_cZ5qyE9fC0mSGanTeS7H6,변정현 굉장하다,1151,272,187,False,False,False,7fsLw_ebFBOvNBWK6pmp3AUBufunlqy8g-Db4yTazsvwBvcgftzSxp3-3UCB72G1OmwgkL3llYm_Ug
CHALLENGER,3YLwSm7nQGITr210pnuu4kQDJEhj5G1-rE3wgLIsYZw8jLyHs_CsKSUw4g,바람부는언덕위에,1282,537,450,True,False,False,ZDTjKGT4SfSatfKQ84MTiwr5kGTKh6cMc5lJGFcWqSbD7bMa9DQ5T00lX_j0v4DHsmN1cLP5sCN22g
CHALLENGER,XXowODEANq9wu71SrVikiy8uqpg2OAakj8FlKBBoDeVOKlU,한화생명 로키,921,1185,1129,False,False,True,tX22AvdqQKhP8GHN-W6sGq_4t_AbVZFXT3lcLzuMX3UDkcrIKIMRhx9hi2eRuc95SrjuQXA9AgD9rg
CHALLENGER,47fDULXUVm1zqGW1BDraaNQoAC8dlobUknk2u0TlOcZsdg,Twitch 다훈갓,1024,424,354,False,False,False,r9w3pprNTeExQDwRQRPw3HQqvHcRbd-r49uh4vIlUdMU2PYtlbAUH-NZwFuWu1_sC8WGwicKpglROQ
CHALLENGER,PX-3lCkSIjUH_L2N23tJPsxPbrAwuy_h71LJD_9YlpjH6z8,KT Castle,1270,742,666,True,False,False,15chkNoiYKVNquTzcclkifaFFQzkWPdlgv34W4O2O1K2Xj9wtt9TRuGLPZ1UCDzkWIXfLTiY5EcC5w
CHALLENGER,_c1AR9KeHHXJNWWUYgttzYwl0aJCI1W_jPDanAdUxerGoyUSd46e9GhkSg,221124,919,209,162,True,False,False,J1z-_6lyrX-WzUrdnK0_ICkmjo-lzY4Eo_4NqiuVFUQDVcDR-C1sma_d4KGzUD6v2s7d9-iCO9bVzw
CHALLENGER,lFfhpXwEpGWAqDo-qoAWWD7jFtgw9vo7WkhfJ7iRu-XEwZE,IgNar,1056,902,832,False,False,False,oBNddu5vm3WTsdlu2cTBa0nnPKR5iHfP5zrL2A8jY3WhD7hdB7980vXdilhRCnaVAHvTw3gwC7nDMA
CHALLENGER,Gg2GZ8Ki1huZ9IKRzqpCbm-U1zlIRVAEoaVDeOxppPa7m0W-,T1 Smash1,1166,531,454,True,False,False,lttfN_oGABzY280G2sLs9VhT9EPZbjQqNcIGMe-wCnPmmv-d9l0rmP_L-AACG_AoAtIOPUlo00RVuw
CHALLENGER,CdjP2YR1l42BM5N5_bh4Fx5gsUbb421OjMtc4BjfvdAIysSU,Gen G Zest,918,863,804,False,False,True,wKL2gV3oBgYM1Zr3g2p5raQxAzQ_-ITtDjDDnHHn2fR3tLamZEX447WmMf3CEBt60CRm74VIn0WxyQ
CHALLENGER,AOpFLn7zVdqeAX-dTq5Of1aeq4WljRQ7fyY1trAfgk2VTKs,KDF 영재,1168,777,697,True,False,False,kPTCYZx43kIgRxQK680P-DciVyUhkl8N_dvKMemaD9blELiwFpzvaqUo0RiIPFI1lRcx2OXqpWoVnQ
CHALLENGER,Em6vJotllSJdmscClTUerL7gTzRyvo6UE-CuYDiYHlyFgw0,어리고싶다,1056,937,866,False,False,False,DiIB8djvYQJirbIjfz8t7L-_OdALRsCeFOBfQJDn-S11QjXQ48NoGAeRFyOw_nbB8Rb720FT3Yj54g
CHALLENGER,biz9cF4MsniMsKasZIsnHPsiiGP-Yhgc3dX1Mu4ogJhRlA,물다이아,923,336,270,False,False,False,VR07KPPy4YFU33rhYPJCCVQ1xlAcfY31usVJB-tMXctxCvOJI4WyFyUesRxN81SGxAY7VRxwilI0mA
CHALLENGER,9Re_n1Z_--rTk2wLW0QFeo1g7LupmrN3NIS3kWkilRh_0DNPTHc0FMwS1w,원나물,921,144,112,False,False,False,tajRdkSLKqdvgpxN66LgEWG5_Usw4YJgoWrog9ac-lcwTKSjEnul-x2tWkeRwENOTQ0SvH3vRGXz0g
CHALLENGER,HR4lWmhuKu-sS0FTPNDTAVagBR-o0jvlsLeLYpjzzLfNsQ,별 수호자 김인겸,921,210,146,False,False,False,7dgaSkO7xgQf_LT1rEIY5VEJ_svoH7b67YdCep6wKn6dbSMMRfC886SzmBIbSMOJsbTkJiyLU0aw4Q
CHALLENGER,Wie29Lyzgja0xZmR_kqKySwrFH71H2VMRinaJfb_y9VmIWI,Radiohead,1404,1059,968,True,False,False,9C26C0XXzWxlC7FZRbargJfrpUQaoKSohLW8B7OSbdfs2e0BrneEZ1gxuiC8vZOtODBEQKcIlwx-Yw
CHALLENGER,nKZ_cHjxrcS7TMSLj2UAKUVXUdzO7uwsSXdx5oK4FXn1S4A,Honpi,1017,1280,1218,False,False,False,rlX6EZ2rK47N74siAoFFI3IiStb0k-Nv8YfAmWugKxk47bM5Ysh91YDwv8CKhzk7H-cCmz098G5COA
CHALLENGER,7-n91MYcpAgzMiU-PPN49FB_GYTgXhnGxS0nOdaSgElq-g,광연44,927,289,227,True,False,False,EO3UNnJT5quDvp-jhxehsfkD0BRabqLKnkGbVcRGsog7VkAmlulFDS3cs9M2tIp3sLTWaCbIM9jU6A
